 Name ,E-mail,Date Joined,Amount (IDR),Category,Notes
Nabila, nabila2@yahoo.com,2025/05/21 ,35000,Makan,transfer via bank
Salsa, salsa80@outlook.com,2025/03/18 ,75.0k,Hiburan,telat bayar (denda)
Rafi,rafi..21@mail.com,2025-13-40,100000,Lainnya, 
Zahra, zahra72@student.ac.id,2025-13-40,75000,kuliah,"Nonton, popcorn"
Nabila, nabila62@yahoo.com,2025-13-40,25000,makan,telat bayar (denda)
Putri, putri27@yahoo.com,2025/10/26 ,75000,Langganan,—
Nabila, nabila15@outlook.com,"Jan 23, 2025",125000,Transport,transfer via bank
Alya,,31/02/2025,35000, Transport ,Diskon 10%

Putri,putri..12@mail.com,,25000,makan,  perlu struk  
Farhan, farhan89@gmail.com,20-08-25,4O000, Langganan ,beli makan siang
Siti, siti9@mail.com,2025/06/16 ,30000,Kuliah, 
Putri,,,50000,hiburan,beli makan siang
Intan, intan6@gmail.com,2025/02/04 ,125000,Makan,"pembelian buku, modul"
Nadia,nadia..9@student.ac.id,2025/07/25 ,35000,Lainnya,Diskon 10%
Habib,habib65@mail,2025/04/06 ,, Makan ,telat bayar (denda)
Dimas, dimas65@yahoo.com,23-07-25,20000,Kuliah,  perlu struk  
Tegar,tegar90@yahoo,2025/06/09 ,75000,langganan,  perlu struk  
 SITI  ,,2025/05/26 ,25000,Lainnya,Diskon 10%
Intan,,2025-13-40,,Kuliah,Bayar kos
 AIMAN  , aiman76@gmail.com,,35000,Makan,Diskon 10%

Zahra, zahra5@outlook.com,,40000,Lainnya,Bayar kos
 AIMAN  , aiman70@student.ac.id,31/02/2025,125000,Hiburan,transfer via bank
Dimas, dimas69@outlook.com,2025/09/23 ,,Transport,"Nonton, popcorn"
 IQBAL  , iqbal71@mail.com,2025/06/23 ,15000,Transport, 
Rizky,rizky77@outlook,2025/11/04 ,125000,lainnya,Diskon 10%
Zahra, zahra19@gmail.com,2025/10/26 ,15000,Hiburan,—
 BIMA  ,,2025-13-40,125000,hiburan,transfer via bank
Bima,bima86@gmail.com ,2025/06/06 ,15000,Hiburan,top up e-wallet
Aiman,,25/02/2025,75000,Lainnya,Bayar kos
Rafi,rafi24@outlook.com ,2025-03-06,30000,Lainnya,top up e-wallet
Nadia,nadia49@student.ac.id,2025/11/16 ,125000,Makan,—
 FARHAN  , farhan7@student.ac.id,2025/03/23 ,Rp 50.000,Makan,
Andre,,2025-06-11,Rp 20.000, Transport ,—
Zahra, zahra28@outlook.com,2025/09/19 ,,Kuliah,beli makan siang

Putri,putri..42@gmail.com,"Apr 06, 2025",30000,Lainnya,
Habib,,2025/10/06 ,15000,Makan,"Catatan: ""urgent"", cek lagi"
Bima,bima..1@outlook.com,,125000,Lainnya,beli makan siang
Dimas, dimas76@gmail.com,2025/05/08 ,25000,Langganan,top up e-wallet
Putri, putri55@outlook.com,2025/01/04 ,,hiburan,  perlu struk  
 BAGAS  , bagas15@gmail.com,2025/07/16 ,35000,Langganan, 
Intan, intan39@gmail.com,31/02/2025,35000,Langganan,transfer via bank
 ALYA  ,alya87@mail.com ,2025/10/12 ,,Langganan,Bayar kos
 DIMAS  , dimas10@outlook.com,2025/10/07 ,40000,Lainnya,  perlu struk  
Farhan, farhan17@gmail.com,07/08/2025,50000,Langganan,Diskon 10%
Aiman, aiman1@mail.com,2025/11/08 ,,Lainnya,  perlu struk  
Bima, bima47@mail.com,2025/03/26 ,100.0k,Hiburan,
,tegar..66@student.ac.id,2025/06/28 ,75000,Transport, 
, siti18@yahoo.com,16-09-25,75O00,transport,beli makan siang
Zahra,zahra..90@yahoo.com,2025/06/11 ,35000,Hiburan,—
Bima,bima80@mail.com ,2025/01/18 ,20000,Kuliah,Diskon 10%
Rafi, rafi39@yahoo.com,2025-08-12,30000 , Langganan ,beli makan siang
Dimas, dimas42@gmail.com,2025/11/18 ,20000,Langganan,  perlu struk  
 FARHAN  , farhan92@yahoo.com,2025-08-11,30000,Kuliah,telat bayar (denda)
Iqbal,iqbal..74@mail.com,2025/09/12 ,35000,Makan,"Nonton, popcorn"
Putri,,2025/04/08 ,,Makan,Bayar kos
Bagas,bagas..9@student.ac.id,31/02/2025,20000,Langganan,transfer via bank
 FARHAN  ,farhan..15@student.ac.id,22/06/2025,100000,Hiburan,top up e-wallet
Habib,,2025/03/11 ,30000,Kuliah,
Bima,bima..98@student.ac.id,2025/02/03 ,25000,Transport,

Putri,,,20000,Makan,—
Dimas, dimas69@outlook.com,2025/09/23 ,,Transport,"Nonton, popcorn"
Tegar,tegar90@yahoo,2025/06/09 ,75000,langganan,  perlu struk  
Intan,,2025-13-40,,Kuliah,Bayar kos
Nabila, nabila62@yahoo.com,2025-13-40,25000,makan,telat bayar (denda)
Rafi, rafi39@yahoo.com,2025-08-12,30000 , Langganan ,beli makan siang
Zahra,zahra..90@yahoo.com,2025/06/11 ,35000,Hiburan,—
 Zahra,zahra72@student.ac.id ,2025-13-40,75000,kuliah,"Nonton, popcorn"
