name,e-mail,date_joined,amount_(idr),category,notes
Nabila,nabila2@yahoo.com,2025-05-21,35000.0,Makan,transfer via bank
Salsa,salsa80@outlook.com,2025-03-18,,Hiburan,telat bayar (denda)
Rafi,rafi..21@mail.com,,100000.0,Lainnya,
Zahra,zahra72@student.ac.id,,75000.0,kuliah,"Nonton, popcorn"
Nabila,nabila62@yahoo.com,,25000.0,makan,telat bayar (denda)
Putri,putri27@yahoo.com,2025-10-26,75000.0,Langganan,—
Nabila,nabila15@outlook.com,,125000.0,Transport,transfer via bank
Alya,,,35000.0,Transport,Diskon 10%
Putri,putri..12@mail.com,,25000.0,makan,perlu struk
Farhan,farhan89@gmail.com,,,Langganan,beli makan siang
Siti,siti9@mail.com,2025-06-16,30000.0,Kuliah,
Putri,,,50000.0,hiburan,beli makan siang
Intan,intan6@gmail.com,2025-02-04,125000.0,Makan,"pembelian buku, modul"
Nadia,nadia..9@student.ac.id,2025-07-25,35000.0,Lainnya,Diskon 10%
Habib,habib65@mail,2025-04-06,,Makan,telat bayar (denda)
Dimas,dimas65@yahoo.com,,20000.0,Kuliah,perlu struk
Tegar,tegar90@yahoo,2025-06-09,75000.0,langganan,perlu struk
SITI,,2025-05-26,25000.0,Lainnya,Diskon 10%
Intan,,,,Kuliah,Bayar kos
AIMAN,aiman76@gmail.com,,35000.0,Makan,Diskon 10%
Zahra,zahra5@outlook.com,,40000.0,Lainnya,Bayar kos
AIMAN,aiman70@student.ac.id,,125000.0,Hiburan,transfer via bank
Dimas,dimas69@outlook.com,2025-09-23,,Transport,"Nonton, popcorn"
IQBAL,iqbal71@mail.com,2025-06-23,15000.0,Transport,
Rizky,rizky77@outlook,2025-11-04,125000.0,lainnya,Diskon 10%
Zahra,zahra19@gmail.com,2025-10-26,15000.0,Hiburan,—
BIMA,,,125000.0,hiburan,transfer via bank
Bima,bima86@gmail.com,2025-06-06,15000.0,Hiburan,top up e-wallet
Aiman,,,75000.0,Lainnya,Bayar kos
Rafi,rafi24@outlook.com,,30000.0,Lainnya,top up e-wallet
Nadia,nadia49@student.ac.id,2025-11-16,125000.0,Makan,—
FARHAN,farhan7@student.ac.id,2025-03-23,,Makan,
Andre,,,,Transport,—
Zahra,zahra28@outlook.com,2025-09-19,,Kuliah,beli makan siang
Putri,putri..42@gmail.com,,30000.0,Lainnya,
Habib,,2025-10-06,15000.0,Makan,"Catatan: ""urgent"", cek lagi"
Bima,bima..1@outlook.com,,125000.0,Lainnya,beli makan siang
Dimas,dimas76@gmail.com,2025-05-08,25000.0,Langganan,top up e-wallet
Putri,putri55@outlook.com,2025-01-04,,hiburan,perlu struk
BAGAS,bagas15@gmail.com,2025-07-16,35000.0,Langganan,
Intan,intan39@gmail.com,,35000.0,Langganan,transfer via bank
ALYA,alya87@mail.com,2025-10-12,,Langganan,Bayar kos
DIMAS,dimas10@outlook.com,2025-10-07,40000.0,Lainnya,perlu struk
Farhan,farhan17@gmail.com,,50000.0,Langganan,Diskon 10%
Aiman,aiman1@mail.com,2025-11-08,,Lainnya,perlu struk
Bima,bima47@mail.com,2025-03-26,,Hiburan,
,tegar..66@student.ac.id,2025-06-28,75000.0,Transport,
,siti18@yahoo.com,,,transport,beli makan siang
Zahra,zahra..90@yahoo.com,2025-06-11,35000.0,Hiburan,—
Bima,bima80@mail.com,2025-01-18,20000.0,Kuliah,Diskon 10%
Rafi,rafi39@yahoo.com,,30000.0,Langganan,beli makan siang
Dimas,dimas42@gmail.com,2025-11-18,20000.0,Langganan,perlu struk
FARHAN,farhan92@yahoo.com,,30000.0,Kuliah,telat bayar (denda)
Iqbal,iqbal..74@mail.com,2025-09-12,35000.0,Makan,"Nonton, popcorn"
Putri,,2025-04-08,,Makan,Bayar kos
Bagas,bagas..9@student.ac.id,,20000.0,Langganan,transfer via bank
FARHAN,farhan..15@student.ac.id,,100000.0,Hiburan,top up e-wallet
Habib,,2025-03-11,30000.0,Kuliah,
Bima,bima..98@student.ac.id,2025-02-03,25000.0,Transport,
Putri,,,20000.0,Makan,—
Zahra,zahra72@student.ac.id,,75000.0,kuliah,"Nonton, popcorn"
